segment	mean_coverage	median_coverage	0x	1-25x	25-100x	100-1000x	1000x+	sample_id	total_coverage
ha	1654.0957507082153	1465.0	0.0	0.0	1.0	197.0	1567.0	c2-replicate-1	1765.0
mp	43644.13047711782	45431.0	0.0	0.0	0.0	0.0	1027.0	c2-replicate-1	1027.0
na	2094.898362892224	2176.5	0.0	0.0	0.0	119.0	1347.0	c2-replicate-1	1466.0
np	10302.785942492012	10927.0	0.0	0.0	0.0	13.0	1552.0	c2-replicate-1	1565.0
ns	59877.87191011236	65520.5	0.0	0.0	0.0	0.0	890.0	c2-replicate-1	890.0
pa	3523.2077922077924	1190.0	0.0	0.0	0.0	885.0	1348.0	c2-replicate-1	2233.0
pb1	1566.6040153780436	309.0	0.0	0.0	0.0	1796.0	545.0	c2-replicate-1	2341.0
pb2	2635.0777445536096	1261.0	0.0	0.0	0.0	350.0	1991.0	c2-replicate-1	2341.0
ha	550.4776203966005	446.0	0.0	0.0	6.0	1552.0	207.0	c2-replicate-2	1765.0
mp	14761.424537487828	14772.0	0.0	0.0	0.0	0.0	1027.0	c2-replicate-2	1027.0
na	797.7803547066849	830.0	0.0	0.0	4.0	970.0	492.0	c2-replicate-2	1466.0
np	2842.7188498402556	2965.0	0.0	0.0	0.0	32.0	1533.0	c2-replicate-2	1565.0
ns	23974.15168539326	24915.0	0.0	0.0	0.0	0.0	890.0	c2-replicate-2	890.0
pa	1239.5579937304076	329.0	0.0	0.0	92.0	1511.0	630.0	c2-replicate-2	2233.0
pb1	749.2093122597181	83.0	0.0	0.0	1440.0	490.0	411.0	c2-replicate-2	2341.0
pb2	1213.2387868432295	334.0	0.0	0.0	0.0	1759.0	582.0	c2-replicate-2	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	c20-replicate-1	1765.0
mp	0.1557935735150925	0.0	947.0	80.0	0.0	0.0	0.0	c20-replicate-1	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	c20-replicate-1	1466.0
np	0.0	0.0	1565.0	0.0	0.0	0.0	0.0	c20-replicate-1	1565.0
ns	0.0	0.0	890.0	0.0	0.0	0.0	0.0	c20-replicate-1	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	c20-replicate-1	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	c20-replicate-1	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	c20-replicate-1	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	c20-replicate-2	1765.0
mp	0.1587147030185005	0.0	864.0	163.0	0.0	0.0	0.0	c20-replicate-2	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	c20-replicate-2	1466.0
np	0.0	0.0	1565.0	0.0	0.0	0.0	0.0	c20-replicate-2	1565.0
ns	0.0	0.0	890.0	0.0	0.0	0.0	0.0	c20-replicate-2	890.0
pa	95.76623376623375	97.0	0.0	23.0	1246.0	964.0	0.0	c20-replicate-2	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	c20-replicate-2	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	c20-replicate-2	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	c3-replicate-1	1765.0
mp	0.4527750730282376	0.0	876.0	151.0	0.0	0.0	0.0	c3-replicate-1	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	c3-replicate-1	1466.0
np	0.0	0.0	1565.0	0.0	0.0	0.0	0.0	c3-replicate-1	1565.0
ns	1.2707865168539323	1.0	91.0	799.0	0.0	0.0	0.0	c3-replicate-1	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	c3-replicate-1	2233.0
